id,season,city ,date,team1,team2,toss_winner,toss_decision,winner,winner_by_runs,winner_by_wickets,player_of_match,venue,umpire 1,umpire 2,tv-umpire,no_result,tie,result,dl-applied
1417798,2024,Nottingham,7/31/2024,Birmingham Phoenix,Trent Rockets,Trent Rockets,field,Birmingham Phoenix,6,,DR Mousley,"Trent Bridge,Nottingham",AG Wharf,BJ Debenham,NL Bainton,0,0,normal,0
1417799,2024,London,8/1/2024,Welsh Fire,London Spirit,London Spirit,field,London Spirit,,3,LA Dawson,"Lord's, London",MJ Saggers,PR Pollard,NJ Llong,0,0,normal,0
1417800,2024,Southampton,8/1/2024,Manchester Originals,Southern Brave,Southern Brave,field,Southern Brave,,7,C Overton,"The Rose Bowl, Southampton",ID Blackwell,Rob White,PK Baldwin,0,0,normal,0
1417801,2024,London,8/2/2024,Northern Superchargers,Oval Invincilbes,Oval Invincibles,field,Northern Superchargers,19,,N Pooran,"Kennington Oval, London",GD Lloyd,M Burns,MJ Saggers,0,0,normal,0
1417802,2024,Birmingham,8/3/2024,Southern Brave,Birmingham Phoenix,Birmingham Phoenix,field,Southern Brave,32,,JM Vince,"Edgbaston, Birmingham",PR Pollard,RJ Warren,PK Baldwin,0,0,normal,0
1417803,2024,Nottingham,8/3/2024,Welsh Fire,Trent Rockets,Trent Rockets,field,Welsh Fire,4,,JM Bairstow,"Trent Bridge,Nottingham",MA Gough,NJ Llong,RA White,0,0,normal,0
1417804,2024,London,8/4/2024,Oval Invincibles,London Spirit,Oval Invincibles,bat,Oval Invincibles,30,,SM Curran,"Lord's, London",M Burns,Stephen Harris,NJ Llong,0,0,normal,0
1417805,2024,Leeds,8/4/2024,Northern Superchargers,Manchester Originals,Manchester Originals,field,Northern Superchargers,14,,HC Brook,"Headingley, Leeds",James Middlebrook,Rob White,NL Bainton,0,0,normal,0
1417806,2024,Cardiff,8/5/2024,Southern Brave,Welsh Fire,Welsh Fire,field,Southern Brave,42,,JM Vince,"Sophia Gardens, Cardiff",M Burns,RJ Warren,PK Baldwin,0,0,normal,0
1417807,2024,Manchester,8/6/2024,Oval Invincibles,Manchester Originals,Manchester Originals,field,Oval Invincibles,3,,SM Curran,"Old Trafford, Manchester",James Middlebrook,MJ Saggers,NL Bainton,0,0,normal,0
1417808,2024,Birmingham,8/6/2024,Northern Superchargers,Birmingham Phoenix,Northern Superchargers,bat,Birmingham Phoenix,,10,TG Southee,"Edgbaston, Birmingham",MA Gough,Stephen Harris,NJ Llong,0,0,normal,0
1417809,2024,Nottingham,8/7/2024,Trent Rockets,London Spirit,Trent Rockets,bat,Trent Rockets,22,,Rashid Khan,"Trent Bridge,Nottingham",James Middlebrook,RJ Warren,AY Harris,0,0,normal,0
1417810,2024,Cardiff,8/8/2024,Northern Superchargers,Welsh Fire,Welsh Fire,field,,,,,"Sophia Gardens, Cardiff",MJ Saggers,M Burns,PK Baldwin,1,0,noresult,0
1417811,2024,London,8/8/2024,Southern Brave,Oval Invincilbes,Oval Invincibles,field,Oval Invincibles,,6,SM Curran,"Kennington Oval, London",BJ Debenham,DJ Millns,NL Bainton,0,0,normal,0
1417812,2024,London,8/9/2024,Manchester Originals,London Spirit,London Spirit,field,Manchester Originals,12,,PD Salt,"Lord's, London",SJ O'Shaughnessy,Tom Lungley,MJ Saggers,0,0,normal,0
1417813,2024,Southampton,8/10/2024,Trent Rockets,Southern Brave,Trent Rockets,bat,Southern Brave,,2,KA Pollard,"The Rose Bowl, Southampton",DJ Millns,M Burns,NL Bainton,0,0,normal,0
1417814,2024,Cardiff,8/10/2024,Welsh Fire,Birmingham Phoenix,Welsh Fire,bat,Birmingham Phoenix,,5,SA Abbott,"Sophia Gardens, Cardiff",BJ Debenham,Rob White,PK Baldwin,0,0,normal,0
1417815,2024,London,8/11/2024,London Spirit,Oval Invincilbes,Oval Invincibles,field,Oval Invincibles,,9,A Zampa,"Kennington Oval, London",DJ Millns,James Middlebrook,MJ Saggers,0,0,normal,0
1417816,2024,Manchester,8/11/2024,Manchester Originals,Northern Superchargers,Northern Superchargers,field,Northern Superchargers,,7,N Pooran,"Old Trafford, Manchester",GD Lloyd,RJ Warren,J Naeem,0,0,normal,0
1417817,2024,Birmingham,8/12/2024,Trent Rockets,Birmingham Phoenix,Birmingham Phoenix,field,Birmingham Phoenix,,6,TG Southee,"Edgbaston, Birmingham",Mark Newell,SJ O'Shaughnessy,NJ Llong,0,0,normal,0
1417818,2024,Leeds,8/13/2024,London Spirit,Northern Superchargers,Northern Superchargers,field,Northern Superchargers,21,,AU Rashid,"Headingley, Leeds",James Middlebrook,RJ Warren,J Naeem,0,0,normal,1
1417819,2024,Southampton,8/14/2024,Welsh Fire,Southern Brave,Welsh Fire,bat,,,,,"The Rose Bowl, Southampton",MJ Saggers,Rob White,NL Bainton,1,0,noresult,0
1417820,2024,Nottingham,8/14/2024,Oval Invincibles,Trent Rockets,Oval Invincibles,bat,Trent Rockets,,6,R Powell,"Trent Bridge,Nottingham",DJ Millns,ID Blackwell,NJ Llong,0,0,normal,0
1417821,2024,Birmingham,8/15/2024,Manchester Originals,Birmingham Phoenix,Birmingham Phoenix,field,Birmingham Phoenix,,9,AF Milne,"Edgbaston, Birmingham",ID Blackwell,M Burns,PK Baldwin,0,0,normal,0
1417822,2024,London,8/17/2024,Southern Brave,Birmingham Phoenix,Birmingham Phoenix,field,,,,JC Archer,"Kennington Oval, London",James Middlebrook,M Burns,NL Bainton,0,1,tie,0
1417823,2024,London,8/18/2024,Oval Invincibles,Southern Brave,Southern Brave,field,Oval Invincibles,17,,S Mahmood,"Lord's, London",MJ Saggers,RJ Warren,PK Baldwin,0,0,normal,0
